preco,tamanho (m²),qtd_quartos,qtd_banheiros,qtd_vagas_garagem,bairro,endereco
6300000.0,294.0,4,5.0,4,Savassi,Rua Gonçalves Dias
7500000.0,450.0,4,5.0,4,Santa Lúcia,Rua Zodíaco
7400000.0,402.0,3,3.0,6,Santa Lúcia,Rua Zodíaco
7900000.0,402.0,3,5.0,5,Santa Lúcia,Rua Netuno
5900000.0,300.0,4,5.0,3,Lourdes,Rua Curitiba
5932575.0,439.0,4,7.0,6,Santa Lúcia,Rua dos Polos
1390000.0,765.0,3,1.0,0,Ouro Preto,Rua Júlio Soares Santana
5580000.0,215.0,4,4.0,5,Santa Lúcia,Rua dos Polos
5900000.0,278.0,4,6.0,4,Funcionários,Rua Maranhão
7401599.0,439.0,4,6.0,6,Santa Lúcia,Rua dos Polos
5500000.0,238.0,4,6.0,4,Lourdes,Rua dos Aimorés
6000000.0,460.0,4,3.0,2,Savassi,Rua Santa Rita Durão
7300000.0,480.0,4,5.0,4,Santo Antônio,Rua Rafael Magalhães
10790000.0,595.0,4,6.0,5,Gutierrez,Rua João Furtado
5200000.0,576.0,4,5.0,4,Serra,Rua Pirapetinga
5950000.0,460.0,4,3.0,4,Luxemburgo,Rua Professor Júlio Mourão
7000000.0,625.0,4,6.0,6,Santa Lúcia,Rua Zodíaco
7600000.0,314.0,4,6.0,5,Santa Efigênia,Rua Piauí
6300000.0,294.0,4,6.0,2,Savassi,Rua Gonçalves Dias
5200000.0,530.0,4,5.0,4,Serra,Rua Pirapetinga
5150000.0,209.0,3,3.0,3,Lourdes,Rua Felipe dos Santos
6300000.0,324.0,4,6.0,0,Santa Lúcia,Rua Zodíaco
6000000.0,460.0,4,4.0,2,Funcionários,Rua Santa Rita Durão
5330000.0,364.0,4,5.0,4,Santa Lúcia,Avenida Halley
5214000.0,208.0,4,5.0,4,Santa Efigênia,Rua Piauí
1159000.0,840.0,3,2.0,2,Castelo,Rua Castelo de Avis
11000000.0,480.0,4,6.0,6,Santa Lúcia,Rua Câncer
5095382.0,208.0,4,5.0,4,Funcionários,Rua Piauí
5500000.0,280.0,4,6.0,4,Belvedere,Rua Vicente Guimarães
5800000.0,439.0,4,4.0,6,Santa Lúcia,Rua dos Polos
13500000.0,385.0,4,6.0,5,Lourdes,Rua Rio de Janeiro
5500000.0,310.0,4,3.0,2,Savassi,Rua Santa Rita Durão
5500000.0,264.0,3,4.0,3,Lourdes,Rua Santa Catarina
7300000.0,480.0,4,6.0,5,Santo Agostinho,Rua Matias Cardoso
5932575.0,439.0,4,6.0,6,Santa Lúcia,Rua dos Polos
5500000.0,260.0,3,3.0,3,Lourdes,Rua Santa Catarina
11200000.0,593.0,4,6.0,5,Gutierrez,Rua Marechal Bitencourt
7595617.0,439.0,4,7.0,6,Santa Lúcia,Rua dos Polos
10800000.0,106.0,4,5.0,5,Gutierrez,Rua João Furtado
5200000.0,307.0,4,3.0,5,Lourdes,Rua Felipe dos Santos
5900000.0,360.0,4,6.0,4,Santo Agostinho,Rua Ouro Preto
7900000.0,399.0,5,7.0,5,Belvedere,Rua José Ferreira Cascão
6000000.0,390.0,4,1.0,4,Lourdes,Rua São Paulo
6114000.0,244.0,4,5.0,4,Santa Efigênia,Rua Piauí
5200000.0,290.0,4,5.0,4,Lourdes,Rua Santa Catarina
6900000.0,311.0,4,6.0,4,Lourdes,Rua da Bahia
5600000.0,278.0,4,3.0,4,Funcionários,Rua Maranhão
7499000.0,385.0,4,7.0,4,Santa Lúcia,Rua Zodíaco
2200000.0,1000.0,3,3.0,6,Garças,Rua Reginaldo Cunha Balaguer
7920815.0,315.0,4,4.0,4,Lourdes,Rua Bernardo Guimarães
6700000.0,311.0,4,2.0,4,Lourdes,Rua da Bahia
6951938.0,482.0,4,5.0,6,Santa Lúcia,Rua dos Polos
6443000.0,244.0,5,5.0,4,Santa Efigênia,Rua Piauí
5388710.0,208.0,4,5.0,4,Funcionários,Rua Piauí
5160000.0,208.0,4,3.0,4,Funcionários,Rua Piauí
6090000.0,225.0,4,6.0,3,Gutierrez,Rua Oscar Trompowsky
5200000.0,308.0,4,5.0,5,Lourdes,Rua Felipe dos Santos
6340000.0,309.0,5,5.0,4,Anchieta,Rua Laranjal
6700000.0,480.0,4,7.0,0,Santa Lúcia,Rua Zodíaco
5950000.0,340.0,4,6.0,4,Lourdes,Rua São Paulo
3850000.0,782.0,5,4.0,4,Serra,Rua Serranos
6298000.0,279.0,4,5.0,4,Funcionários,Rua Maranhão
7900000.0,402.0,3,5.0,6,Santa Lúcia,Rua Zodíaco
7800000.0,420.0,3,4.0,5,Santa Lúcia,Rua Zodíaco
